-27.5	-27.5	0	8636.5	2007.2
-27	-27.5	0	8902	2273.8
-26.5	-27.5	0	11278	2197.6
-26	-27.5	0	8779	2016
-25.5	-27.5	0	6644	1830.2
-25	-27.5	0	8047.75	1221.6
-24.5	-27.5	0	8350.5	1837.4
-24	-27.5	0	12732.5	1841
-23.5	-27.5	0	10275.8	1567.6
-23	-27.5	0	6513	1639.2
-22.5	-27.5	0	8059.5	1929.8
-22	-27.5	0	9470	1762.2
-21.5	-27.5	0	9853.5	2233.2
-21	-27.5	0	8062.5	2380.8
-20.5	-27.5	0	10611.8	2267.2
-20	-27.5	0	10072.8	2393.8
-19.5	-27.5	0	16320	1597.8
-19	-27.5	0	14035.5	1364.2
-18.5	-27.5	0	11437	1888.6
-18	-27.5	0	8622	1380.4
-17.5	-27.5	0	5630.25	1496.6
-17	-27.5	0	8176.5	1751.4
-16.5	-27.5	0	10494.8	2050
-16	-27.5	0	10983.5	2422.8
-15.5	-27.5	0	10730.3	1371.4
-15	-27.5	0	10791.3	1525
-14.5	-27.5	0	8359.25	1615.8
-14	-27.5	0	8227.25	1614.8
-13.5	-27.5	0	7824.5	1861.2
-13	-27.5	0	11440.5	1546.4
-12.5	-27.5	0	10690.3	1231.2
-12	-27.5	0	8957.5	1915.8
-11.5	-27.5	0	8672.75	1429.8
-11	-27.5	0	8022.5	2230
-10.5	-27.5	0	6069.5	1583
-10	-27.5	0	8352.5	1710.8
-9.5	-27.5	0	7905	1744
-9	-27.5	0	8502.75	1805.4
-8.5	-27.5	0	7223	1966.2
-8	-27.5	0	6275.75	1295
-7.5	-27.5	0	9101.25	1896
-7	-27.5	0	6317.5	1253.4
-6.5	-27.5	0	7954.75	1654.2
-6	-27.5	0	10019.3	1661.2
-5.5	-27.5	0	9302.75	1671.4
-5	-27.5	0	7242.75	1790.2
-4.5	-27.5	0	8372.75	1729
-4	-27.5	0	7120.75	2002
-3.5	-27.5	0	12332.8	971.4
-3	-27.5	0	12589	1545.8
-2.5	-27.5	0	11183.8	1727.6
-2	-27.5	0	10620.3	2901.2
-1.5	-27.5	0	11308.8	2575.6
-1	-27.5	0	13847.8	2627.4
-0.5	-27.5	0	13342	1258.4
0	-27.5	0	14811.3	2806.2
0.5	-27.5	0	12779.3	2523.2
1	-27.5	0	10643.5	2643.6
1.5	-27.5	0	11341.8	2721
2	-27.5	0	10072.5	2482.2
2.5	-27.5	0	9743	2127.2
3	-27.5	0	8598.5	1920.8
3.5	-27.5	0	7204	1531.2
4	-27.5	0	7293.5	1374.6
4.5	-27.5	0	9199.5	1521
5	-27.5	0	8275.75	1701
5.5	-27.5	0	7453.5	1203.4
6	-27.5	0	7709	1298.2
6.5	-27.5	0	9562.75	2436.2
7	-27.5	0	10386.5	1783.8
7.5	-27.5	0	10377	2596.2
8	-27.5	0	8497.25	1921.4
8.5	-27.5	0	12632.5	1984.8
9	-27.5	0	15771	1899.4
9.5	-27.5	0	9835	2012.2
10	-27.5	0	10934.5	1143.8
10.5	-27.5	0	9695.75	1940.4
11	-27.5	0	7702	2086.6
11.5	-27.5	0	10877	1499
12	-27.5	0	10174.5	1730.6
12.5	-27.5	0	9109.5	1802.4
13	-27.5	0	12489.8	2404
13.5	-27.5	0	13308.3	1997.4
14	-27.5	0	12148.3	2279.6
14.5	-27.5	0	15244.8	853.8
15	-27.5	0	14452	1665.8
15.5	-27.5	0	11208.3	2301.2
16	-27.5	0	9417.5	1863.6
16.5	-27.5	0	12530.3	1936.8
17	-27.5	0	10656.5	1957.8
17.5	-27.5	0	9356	2111.2
18	-27.5	0	7836.5	1759
18.5	-27.5	0	6799.5	1555.8
19	-27.5	0	6009.25	1379.6
19.5	-27.5	0	6619.75	1488.4
20	-27.5	0	6110	1423.4
20.5	-27.5	0	7043	1388.2
21	-27.5	0	8724.5	1415
21.5	-27.5	0	6247.75	1235.6
22	-27.5	0	8507.25	2415
22.5	-27.5	0	7813	1434.4
