2.18E-08	0
2.52E-08	0.5
2.92E-08	1
3.37E-08	1.5
3.83E-08	2
4.37E-08	2.5
4.94E-08	3
5.35E-08	3.5
6.19E-08	4
6.98E-08	4.5
7.82E-08	5
8.72E-08	5.5
9.71E-08	6
1.07E-07	6.5
1.18E-07	7
1.29E-07	7.5
1.41E-07	8
1.53E-07	8.5
1.66E-07	9
1.80E-07	9.5
1.94E-07	10
2.09E-07	10.5
2.24E-07	11
2.39E-07	11.5
2.55E-07	12
2.71E-07	12.5
2.87E-07	13
3.04E-07	13.5
3.21E-07	14
3.40E-07	14.5
3.58E-07	15
3.78E-07	15.5
3.96E-07	16
4.16E-07	16.5
4.36E-07	17
4.55E-07	17.5
4.75E-07	18
4.94E-07	18.5
4.93E-07	19
5.26E-07	19.5
5.50E-07	20
5.72E-07	20.5
5.94E-07	21
6.15E-07	21.5
6.33E-07	22
6.53E-07	22.5
6.73E-07	23
6.91E-07	23.5
7.09E-07	24
7.27E-07	24.5
7.47E-07	25
7.66E-07	25.5
7.85E-07	26
8.03E-07	26.5
8.22E-07	27
8.40E-07	27.5
8.61E-07	28
8.78E-07	28.5
8.95E-07	29
9.16E-07	29.5
9.36E-07	30
