672.6881E-9	23.0000E+0																																																																																																																																																																																																																																																												
691.3492E-9	23.5000E+0																																																																																																																																																																																																																																																												
708.5893E-9	24.0000E+0																																																																																																																																																																																																																																																												
726.7883E-9	24.5000E+0																																																																																																																																																																																																																																																												
747.3738E-9	25.0000E+0																																																																																																																																																																																																																																																												
766.2641E-9	25.5000E+0																																																																																																																																																																																																																																																												
785.0475E-9	26.0000E+0																																																																																																																																																																																																																																																												
802.6871E-9	26.5000E+0																																																																																																																																																																																																																																																												
821.9524E-9	27.0000E+0																																																																																																																																																																																																																																																												
839.6187E-9	27.5000E+0																																																																																																																																																																																																																																																												
861.3438E-9	28.0000E+0																																																																																																																																																																																																																																																												
877.8288E-9	28.5000E+0																																																																																																																																																																																																																																																												
894.8572E-9	29.0000E+0																																																																																																																																																																																																																																																												
915.9691E-9	29.5000E+0																																																																																																																																																																																																																																																												
936.2694E-9	30.0000E+0																																																																																																																																																																																																																																																												
